0.0000000000	114.7000000000	1732.8000000000	0.6314068400	57.0697086400	57.0714367400	
0.1600000000	112.9000000000	1731.3000000000	0.6230285170	56.8681277900	56.8698644700	
0.3300000000	111.0000000000	1729.9000000000	0.6148957810	56.7081840500	56.7099304900	
0.5000000000	109.1000000000	1728.3000000000	0.6148957810	56.7081840500	56.7099304900	
1.0000000000	106.7000000000	1728.4000000000	0.5991872710	56.5146073700	56.5163815500	
1.5000000000	105.5000000000	1729.2000000000	0.5948614040	56.5167907300	56.5185796500	
2.0000000000	102.9000000000	1730.0000000000	0.5898077770	56.6398138900	56.6416174300	
2.2000000000	102.3000000000	1729.9000000000	0.5883251290	56.6960952000	56.6978981100	
2.3200000000	101.9000000000	1729.8000000000	0.5875032080	56.7256517500	56.7274545700	
2.5000000000	101.8000000000	1730.6000000000	0.5874158140	56.6495029400	56.6513208700	
3.0000000000	101.7000000000	1731.4000000000	0.5873339970	56.5732144700	56.5750478700	
3.6000000000	101.6000000000	1732.4000000000	0.5872380360	56.4808620900	56.4827153000	
3.6100000000	101.6000000000	1732.4000000000	0.5872363880	56.4791261100	56.4809793100	
